path,lang,inventory_status,broken_signals,task_group,assignee_team,state,pr_link,verification_status,verification_inventory_refresh,notes
Linkpoint/tools/generate_parser_scaffolding.py,py,OK,,Tooling TODO Call Remediation,Tooling & Developer Experience Team,DONE,,VERIFIED,2026-04-27,Confirmed no todo-call in refreshed static inventory.
file_bundle/ActiveChattersManager.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
file_bundle/GroupMainProfileTab.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
file_bundle/SyncManager.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
file_bundle/WorldViewActivity.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/arch/core/internal/SafeIterableMap.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/design/internal/BottomNavigationMenu.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/design/widget/CoordinatorLayout.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/design/widget/HeaderBehavior.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/graphics/drawable/AnimationUtilsCompat.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/transition/TransitionInflater.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/content/FileProvider.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/content/pm/ShortcutManagerCompat.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/graphics/TypefaceCompatApi21Impl.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/graphics/TypefaceCompatUtil.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/graphics/drawable/RoundedBitmapDrawable.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/media/MediaBrowserServiceCompat.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/media/session/MediaControllerCompat.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/media/session/MediaSessionCompat.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/net/DatagramSocketWrapper.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/provider/FontsContractCompat.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/provider/SingleDocumentFile.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/text/util/LinkifyCompat.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/util/ArraySet.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/util/LruCache.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/util/MapCollections.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/view/PagerAdapter.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/view/ViewPager.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/widget/SlidingPaneLayout.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v4/widget/ViewDragHelper.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/app/ActionBar.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/app/ToolbarActionBar.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/preference/PreferenceDataStore.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/util/DiffUtil.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/view/SupportMenuInflater.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/view/menu/ActionMenuItem.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/view/menu/MenuItemImpl.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/view/menu/MenuPopup.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/widget/AppCompatSpinner.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/widget/AppCompatTextHelper.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/widget/DropDownListView.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/widget/GridLayoutManager.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/android/support/v7/widget/RecyclerView.java,java,BROKEN,decompilation-stub|unsupported-operation,Android Core Recovery,Android Core Recovery Team,TODO,,PENDING,,
lumiya_decompiled_source/com/google/common/base/AbstractIterator.java,java,BROKEN,unsupported-operation,Platform Stability Remediation,Platform Stability Team,TODO,,PENDING,,
