route_const,route_pattern,destination_type,menu_id
LOGIN,login,LoginScreen,
WORLD,world,WorldScreen,
CHAT,chat,ChatActivity,nav_chat
INVENTORY,inventory,InventoryActivity,nav_inventory
FRIENDS,friends,FriendsActivity,nav_friends
GROUPS,groups,GroupsActivity,nav_groups
PROFILE,profile/{userId},ProfileScreen,
MY_PROFILE,profile/me,MyProfileScreen,
SETTINGS,settings,SettingsActivity,nav_settings
MAP,map,MapActivity,nav_world_map
MINIMAP,minimap,MinimapActivity,nav_minimap
RADAR,radar,RadarActivity,nav_radar
SEARCH,search,SearchActivity,nav_search
TELEPORT_HISTORY,teleport_history,TeleportHistoryScreen,
NEARBY_PEOPLE,nearby_people,NearbyPeopleActivity,nav_nearby
MY_AVATAR,my_avatar,MyAvatarActivity,nav_avatar
TOS,tos,TosScreen,
THEME_PICKER,theme_picker,ThemePickerScreen,
SLURL,slurl/{slurl},SlurlHandler,
XR_WORLD,xr_world,XRWorldScreen,nav_xr_mode
WALLET,wallet,WalletScreen,
BUILD_TOOLS,build_tools,BuildToolsScreen,
NOTIFICATIONS_FEED,notifications_feed,NotificationsScreen,
VOICE_DEEP,voice_deep,VoiceDeepScreen,
PLACES_DETAIL,places/{placeId},PlaceDetailScreen,
PLACES_EVENTS,places/events,EventsScreen,
PLACES_SEARCH,places/search,PlacesScreen,
ONBOARDING_WELCOME,onboarding/welcome,OnboardingWelcomeScreen,
ONBOARDING_PERMISSIONS,onboarding/permissions,OnboardingPermissionsScreen,
ONBOARDING_AVATAR,onboarding/avatar,OnboardingAvatarScreen,
IM_LIST,im_list,IMListScreen,
OUTFIT_PICKER,outfit_picker,OutfitPickerScreen,
OUTFIT_COMPOSER,outfit_composer,OutfitComposerScreen,
GROUP_PROFILE,group_profile/{groupId},GroupProfileScreen,
CAMERA_MODE,camera_mode,CameraScreen,
GRAPHICS_SETTINGS,settings/graphics,GraphicsSettingsScreen,
PRIVACY_SETTINGS,settings/privacy,PrivacySettingsScreen,
GRID_MANAGEMENT,settings/grids,GridManagementScreen,
EMPTY_STATES_REF,dev/empty_states,EmptyStatesReferenceScreen,
